camera,camera_indicator,total_apps,running_process,total_apps_with_internet_permission,upload_rate,download_rate,firewall_stat,malicious_website_visits,running_process_with_all_permission,malicious_stat,risk_factor
0,0,16,10,11,118,409,1,1,2,0,low
0,0,16,10,11,137,445,1,1,1,0,low
0,0,16,1,11,171,200,1,1,1,0,low
1,1,16,9,11,66,380,0,0,0,0,medium
0,0,16,1,11,89,119,1,1,3,0,low
1,0,16,3,11,58,264,0,0,2,1,medium
1,0,16,5,11,121,475,0,1,0,1,medium
0,0,16,2,11,89,462,1,0,1,0,low
1,0,16,4,11,195,23,0,0,3,0,medium
0,0,16,6,11,130,94,0,0,2,0,medium
1,1,16,4,11,108,83,0,0,1,1,medium
0,0,16,7,11,165,13,0,0,2,0,medium
0,0,16,3,11,66,314,1,1,1,0,low
0,0,16,2,11,17,255,0,0,1,0,medium
0,0,16,3,11,102,73,0,1,2,1,medium
1,0,16,6,11,180,218,0,0,2,0,medium
0,0,16,9,11,185,339,0,0,2,1,medium
1,1,16,9,11,56,55,0,0,3,1,medium
1,1,16,10,11,98,496,0,1,2,0,medium
1,1,16,4,11,61,456,0,0,1,0,medium
1,1,16,8,11,125,374,0,1,1,1,medium
1,0,16,3,11,12,204,0,1,2,1,high
1,0,16,8,11,150,35,1,1,0,0,medium
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,8,11,55,395,0,0,1,1,medium
0,0,16,2,11,3,375,0,1,0,0,medium
1,1,16,3,11,36,270,1,1,0,0,low
1,1,16,8,11,120,208,1,1,2,0,low
1,1,16,3,11,129,228,1,1,2,0,low
0,0,16,9,11,185,38,0,0,3,1,medium
1,0,16,6,11,162,354,1,0,2,0,medium
1,1,16,5,11,97,155,0,0,2,0,medium
1,0,16,3,11,79,279,0,0,0,1,medium
1,0,16,10,11,196,409,0,1,2,1,high
1,0,16,1,11,25,246,1,1,0,0,medium
1,1,16,10,11,170,58,1,1,2,0,low
0,0,16,6,11,162,318,1,1,1,0,low
1,1,16,4,11,133,292,0,1,1,0,medium
1,0,16,6,11,170,315,0,1,1,1,high
1,0,16,6,11,63,453,0,0,0,1,medium
0,0,16,5,11,159,51,1,1,2,0,low
0,0,16,3,11,5,433,1,1,1,0,low
0,0,16,10,11,119,401,1,0,0,0,low
1,0,16,3,11,108,411,0,1,3,1,high
0,0,16,0,11,0,0,0,0,0,1,medium
1,1,16,10,11,110,128,1,1,3,0,low
1,0,16,5,11,78,468,1,1,2,1,medium
0,0,16,7,11,109,19,1,1,0,0,low
1,0,16,5,11,131,418,0,0,1,1,medium
0,0,16,8,11,16,43,0,1,2,1,medium
0,0,16,9,11,172,175,0,0,2,0,medium
0,0,16,2,11,181,143,0,1,3,1,medium
1,0,16,6,11,38,154,0,1,1,1,high
0,0,16,9,11,117,160,0,0,3,0,medium
0,0,16,6,11,196,391,1,1,1,0,low
0,0,16,4,11,3,163,1,0,0,0,low
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,2,11,107,484,0,0,2,1,medium
0,0,16,4,11,189,155,1,1,0,0,low
1,0,16,7,11,66,498,0,1,2,1,high
1,1,16,1,11,47,435,1,1,0,0,low
0,0,16,8,11,54,475,1,0,1,0,low
1,1,16,2,11,97,482,0,1,3,1,medium
1,1,16,4,11,194,191,0,0,3,1,medium
1,1,16,8,11,139,447,1,1,3,0,low
0,0,16,5,11,12,41,0,1,2,0,medium
0,0,16,2,11,98,164,1,0,0,0,low
0,0,16,10,11,123,36,1,0,2,0,low
1,1,16,10,11,141,118,0,0,2,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
1,0,16,4,11,79,240,0,0,3,0,medium
0,0,16,1,11,98,143,1,1,3,0,low
0,0,16,4,11,60,346,0,0,3,1,medium
0,0,16,5,11,0,57,1,1,2,0,low
0,0,16,7,11,40,330,0,1,1,0,medium
0,0,16,5,11,170,17,0,1,3,1,medium
1,0,16,4,11,60,48,1,1,1,0,medium
0,0,16,9,11,106,193,0,0,2,0,medium
1,1,16,9,11,160,311,0,1,2,0,medium
1,0,16,2,11,155,235,1,0,0,0,medium
0,0,16,0,11,0,0,0,0,0,0,medium
1,0,16,5,11,33,250,0,0,0,0,medium
0,0,16,0,11,0,0,0,0,0,0,medium
1,1,16,5,11,3,185,0,1,2,1,medium
1,0,16,2,11,144,376,1,1,1,1,medium
0,0,16,8,11,142,356,0,0,1,1,medium
0,0,16,5,11,137,499,0,0,3,1,medium
0,0,16,10,11,177,68,0,0,0,0,medium
1,1,16,8,11,114,305,1,1,1,0,low
0,0,16,2,11,151,341,1,1,2,0,low
1,0,16,5,11,199,106,0,1,1,1,high
0,0,16,3,11,114,137,0,1,3,0,medium
1,0,16,7,11,111,67,0,0,1,0,medium
0,0,16,10,11,168,214,0,0,1,1,medium
0,0,16,8,11,7,143,1,0,0,0,low
0,0,16,2,11,122,46,1,1,3,0,low
0,0,16,1,11,159,477,1,1,0,0,low
1,0,16,2,11,37,174,0,0,0,1,medium
1,0,16,5,11,188,438,0,1,2,1,high
0,0,16,9,11,37,389,0,1,2,0,medium
0,0,16,7,11,76,264,1,0,3,0,low
1,0,16,8,11,20,478,1,1,0,1,medium
1,0,16,2,11,132,308,1,0,3,1,medium
0,0,16,1,11,51,438,1,0,0,0,low
0,0,16,1,11,123,186,1,1,0,0,low
0,0,16,6,11,95,207,1,0,3,0,low
1,0,16,5,11,101,337,0,1,3,1,high
0,0,16,0,11,0,0,0,0,0,0,medium
1,0,16,3,11,132,101,1,1,3,1,medium
1,1,16,4,11,45,280,0,0,0,1,medium
1,0,16,10,11,89,442,0,0,0,1,medium
0,0,16,9,11,22,66,0,1,1,1,medium
1,0,16,4,11,14,222,1,1,0,0,medium
1,0,16,2,11,143,210,1,0,0,1,medium
0,0,16,8,11,147,473,1,1,3,0,low
1,1,16,10,11,13,304,1,0,2,0,low
1,0,16,3,11,190,134,1,0,1,0,medium
1,1,16,4,11,141,357,1,1,2,0,low
0,0,16,8,11,156,45,1,0,1,0,low
0,0,16,1,11,84,19,1,1,3,0,low
1,0,16,6,11,96,167,0,0,0,1,medium
1,0,16,3,11,50,100,0,1,3,1,high
1,0,16,10,11,66,28,0,1,1,1,high
1,0,16,2,11,115,257,1,0,1,0,medium
1,0,16,7,11,56,343,0,1,3,1,high
0,0,16,8,11,173,125,0,1,3,0,medium
1,1,16,10,11,129,288,0,1,3,0,medium
1,0,16,7,11,197,105,1,1,3,1,medium
1,1,16,4,11,66,150,0,1,3,0,medium
0,0,16,0,11,0,0,0,0,0,1,medium
1,0,16,8,11,1,280,0,0,1,1,medium
0,0,16,6,11,80,395,1,0,2,0,low
0,0,16,2,11,41,431,1,1,2,0,low
0,0,16,8,11,29,386,0,0,0,0,medium
1,1,16,9,11,66,362,0,1,0,0,medium
1,0,16,2,11,81,151,1,0,3,1,medium
1,1,16,6,11,197,67,0,1,2,1,medium
0,0,16,5,11,70,60,0,0,0,0,medium
0,0,16,2,11,64,318,1,1,2,0,low
0,0,16,7,11,94,250,1,1,1,0,low
0,0,16,0,11,0,0,0,0,0,1,medium
0,0,16,3,11,113,159,1,0,2,0,low
1,1,16,7,11,48,370,0,1,0,0,medium
0,0,16,0,11,0,0,0,0,0,1,medium
0,0,16,0,11,0,0,1,0,0,0,low
0,0,16,7,11,140,338,1,0,1,0,low
0,0,16,0,11,0,0,0,0,0,0,medium
1,0,16,5,11,120,221,1,1,3,0,medium
0,0,16,4,11,112,55,1,0,1,0,low
0,0,16,5,11,162,211,1,1,3,0,low
0,0,16,2,11,66,385,0,1,2,0,medium
0,0,16,5,11,189,170,1,0,3,0,low
1,1,16,7,11,47,414,1,0,0,0,low
1,1,16,2,11,44,326,1,1,1,0,low
0,0,16,10,11,155,48,1,0,1,0,low
0,0,16,9,11,200,364,0,0,0,0,medium
0,0,16,5,11,24,243,1,0,2,0,low
0,0,16,2,11,158,495,0,1,3,0,medium
1,0,16,10,11,27,449,0,0,3,1,medium
1,0,16,7,11,38,343,1,1,2,1,medium
0,0,16,7,11,52,87,0,0,2,1,medium
0,0,16,3,11,86,211,1,0,1,0,low
1,1,16,9,11,178,310,1,1,3,0,low
0,0,16,6,11,21,105,1,1,2,0,low
1,1,16,6,11,117,156,1,1,2,0,low
0,0,16,0,11,0,0,0,0,0,1,medium
1,1,16,10,11,131,492,0,0,0,1,medium
1,1,16,10,11,22,490,1,0,1,0,low
1,0,16,6,11,56,69,0,0,3,1,medium
0,0,16,0,11,0,0,0,0,0,0,medium
1,1,16,6,11,121,212,1,1,0,0,low
0,0,16,3,11,64,262,1,0,2,0,low
0,0,16,8,11,180,378,1,0,1,0,low
1,0,16,4,11,40,460,1,0,1,1,medium
0,0,16,0,11,0,0,0,0,0,0,medium
1,0,16,9,11,116,117,0,1,3,1,high
0,0,16,3,11,104,13,1,1,0,0,low
1,0,16,1,11,56,459,1,1,3,1,medium
0,0,16,4,11,81,33,0,0,1,0,medium
1,1,16,5,11,123,400,0,1,1,1,medium
0,0,16,5,11,112,242,0,0,1,0,medium
1,0,16,2,11,127,125,1,1,0,1,medium
0,0,16,7,11,161,397,1,0,0,0,low
0,0,16,4,11,25,126,0,0,1,1,medium
1,0,16,4,11,174,150,1,1,0,1,medium
0,0,16,5,11,104,434,1,0,0,0,low
1,0,16,5,11,160,283,1,0,2,0,medium
1,0,16,2,11,59,277,0,0,0,1,medium
0,0,16,0,11,0,0,0,0,0,0,medium
1,1,16,5,11,101,218,1,1,3,0,low
